establishment_id,establishment_name,certificate_name,expiry_date
1,DOCTORS DIAGNOSTIC CENTRE Unit of Dr Jayarams Diagnostic Centre Pvt Ltd.,Floor Plans,
1,DOCTORS DIAGNOSTIC CENTRE Unit of Dr Jayarams Diagnostic Centre Pvt Ltd.,Front View Photograph,
1,DOCTORS DIAGNOSTIC CENTRE Unit of Dr Jayarams Diagnostic Centre Pvt Ltd.,Occupancy Certificate,
1,DOCTORS DIAGNOSTIC CENTRE Unit of Dr Jayarams Diagnostic Centre Pvt Ltd.,Fire Safety Certificate,
1,DOCTORS DIAGNOSTIC CENTRE Unit of Dr Jayarams Diagnostic Centre Pvt Ltd.,PCB Certificate,
2,Sri Raghavendra Clinic,Front View Photograph,
2,Sri Raghavendra Clinic,PCB Certificate,
2,Sri Raghavendra Clinic,Occupancy Certificate,
2,Sri Raghavendra Clinic,Floor Plans,
2,Sri Raghavendra Clinic,Fire Safety Certificate,
4,SRI GURU BAKKESHWARA UROLOGY KIDNEY STONE CLINIC & SARVAMANGALA LAB,Floor Plans,
4,SRI GURU BAKKESHWARA UROLOGY KIDNEY STONE CLINIC & SARVAMANGALA LAB,Front View Photograph,
4,SRI GURU BAKKESHWARA UROLOGY KIDNEY STONE CLINIC & SARVAMANGALA LAB,Occupancy Certificate,
4,SRI GURU BAKKESHWARA UROLOGY KIDNEY STONE CLINIC & SARVAMANGALA LAB,Fire Safety Certificate,24/06/2021
4,SRI GURU BAKKESHWARA UROLOGY KIDNEY STONE CLINIC & SARVAMANGALA LAB,PCB Certificate,31/12/2120
3,Nitte Daycare Imaging center Unit of Nitte Day care Center,Occupancy Certificate,
3,Nitte Daycare Imaging center Unit of Nitte Day care Center,Front View Photograph,
3,Nitte Daycare Imaging center Unit of Nitte Day care Center,Fire Safety Certificate,
3,Nitte Daycare Imaging center Unit of Nitte Day care Center,PCB Certificate,
3,Nitte Daycare Imaging center Unit of Nitte Day care Center,Floor Plans,
5,SAI DHANVANTHRI CLINIC,Floor Plans,
5,SAI DHANVANTHRI CLINIC,Front View Photograph,
5,SAI DHANVANTHRI CLINIC,Occupancy Certificate,
5,SAI DHANVANTHRI CLINIC,Fire Safety Certificate,
5,SAI DHANVANTHRI CLINIC,PCB Certificate,
6,SREE MOOKAMBIKA CLINIC,Floor Plans,
6,SREE MOOKAMBIKA CLINIC,Front View Photograph,
6,SREE MOOKAMBIKA CLINIC,Occupancy Certificate,
6,SREE MOOKAMBIKA CLINIC,Fire Safety Certificate,
6,SREE MOOKAMBIKA CLINIC,PCB Certificate,
7,GAJAKOSH HOSPITAL,Front View Photograph,
7,GAJAKOSH HOSPITAL,Floor Plans,
7,GAJAKOSH HOSPITAL,Fire Safety Certificate,
7,GAJAKOSH HOSPITAL,PCB Certificate,
7,GAJAKOSH HOSPITAL,Occupancy Certificate,
8,SRI VENKATESHWARA HOSPITAL,Floor Plans,
8,SRI VENKATESHWARA HOSPITAL,Front View Photograph,
8,SRI VENKATESHWARA HOSPITAL,Occupancy Certificate,
8,SRI VENKATESHWARA HOSPITAL,Fire Safety Certificate,
8,SRI VENKATESHWARA HOSPITAL,PCB Certificate,
9,DR AGARWALS HEALTH CARE LIMITED,Floor Plans,
9,DR AGARWALS HEALTH CARE LIMITED,Front View Photograph,
9,DR AGARWALS HEALTH CARE LIMITED,Occupancy Certificate,
9,DR AGARWALS HEALTH CARE LIMITED,Fire Safety Certificate,01/01/2021
9,DR AGARWALS HEALTH CARE LIMITED,PCB Certificate,31/03/2021
9,DR AGARWALS HEALTH CARE LIMITED,Trade License,31/03/2021
10,SRI RAM DIAGNOSTICS &WOMEN CLINIC,Floor Plans,
10,SRI RAM DIAGNOSTICS &WOMEN CLINIC,Front View Photograph,
10,SRI RAM DIAGNOSTICS &WOMEN CLINIC,Occupancy Certificate,
10,SRI RAM DIAGNOSTICS &WOMEN CLINIC,Fire Safety Certificate,
10,SRI RAM DIAGNOSTICS &WOMEN CLINIC,PCB Certificate,
11,VISHWACHETANA AYURVEDIC CHIKITSALAYA,Floor Plans,
11,VISHWACHETANA AYURVEDIC CHIKITSALAYA,Front View Photograph,
11,VISHWACHETANA AYURVEDIC CHIKITSALAYA,PCB Certificate,
11,VISHWACHETANA AYURVEDIC CHIKITSALAYA,Occupancy Certificate,
11,VISHWACHETANA AYURVEDIC CHIKITSALAYA,Fire Safety Certificate,
12,Dr Jagadeesh Orthopaedic Sports Medicine and Skin Center,Occupancy Certificate,
12,Dr Jagadeesh Orthopaedic Sports Medicine and Skin Center,Floor Plans,
12,Dr Jagadeesh Orthopaedic Sports Medicine and Skin Center,PCB Certificate,
12,Dr Jagadeesh Orthopaedic Sports Medicine and Skin Center,Front View Photograph,
12,Dr Jagadeesh Orthopaedic Sports Medicine and Skin Center,Fire Safety Certificate,
13,SAPTHAGIRI SKIN CARE CLINIC.,Front View Photograph,
13,SAPTHAGIRI SKIN CARE CLINIC.,Trade License,
13,SAPTHAGIRI SKIN CARE CLINIC.,PCB Certificate,
