establishment_name,category,system_of_medicine,address,district,certificate_number,certificate_validity,page_number,source,scraped_at
DR HABIB KHAN,Clinic/Polyclinic Only Consultation,Allopathy,"1ST FLOOR, SHUBHA KRISHNA BUILDING, HIGHLANDS, MANGALORE",MANGALORE,DKA00409ALCOC,28 Mar 2026,1,KPME Karnataka Portal,2026-01-19T09:49:19.303780
SUMA CLINIC,Clinic/Polyclinic Only Consultation,Homeopathy,SINDAGI NAKA ALLAPUR AREA VIJAYAPUR,,BIJ00223HOCOC,31 Jul 2026,1,KPME Karnataka Portal,2026-01-19T09:49:19.394760
Vedant Clinic,Clinic/Polyclinic Only Consultation,Ayurveda,Jijamata,,BLG00020AYCOC,16 Sep 2025,1,KPME Karnataka Portal,2026-01-19T09:49:19.488266
Danagouda Children Hospital,Hospital (Level 1B),Allopathy,"Danagouda Children Hospital, Ground floor, Jyothi urban society, Near Lingaraj circle, Saundatti",,BLG00042ALH1B,10 Nov 2025,1,KPME Karnataka Portal,2026-01-19T09:49:19.569681
ORTHO CLINIC,Clinic/Polyclinic with Diagnostic Support,Allopathy,"DHIRAJ COMPLEX,BEHIND SURATHKAL NEW BUS STAND MANGALORE",MANGALORE,DKA03159ALCDS,04 Nov 2030,1,KPME Karnataka Portal,2026-01-19T09:49:19.657316
Khushi Eye Clinic,Clinic/Polyclinic Only Consultation,Allopathy,"Sooryaprabha Building, Bolwar",,DKA01000ALCOC,22 May 2027,1,KPME Karnataka Portal,2026-01-19T09:49:19.749464
Patil Hospital,AYUSH Therapy Centre,Ayurveda,"Infront of Sanjay Gandhi English Medium School, Vikrampur. Athani",,BLG00250AYATC,19 Mar 2026,1,KPME Karnataka Portal,2026-01-19T09:49:19.837889
Shankar Clinic,Clinic/Polyclinic Only Consultation,Allopathy,No. 326 3rd Main 7th Cross Srinivasanagar BSK 1st Stage Bangalore,BANGALORE,BLU06656ALCOC,01 Feb 2029,1,KPME Karnataka Portal,2026-01-19T09:49:19.926996
Sanjeevini Homoeo Clinic,Clinic/Polyclinic Only Consultation,Homeopathy,Bhu Swarg Nivas Building Laxmi Talkies Road Dharwad,DHARWAD,DWR00047HOCOC,28 Sep 2025,1,KPME Karnataka Portal,2026-01-19T09:49:20.007084
SHRI BHAGYAVANTI CLINIC KEMBHAVI,Clinic/Polyclinic Only Consultation,Ayurveda,SANJIV NAGAR KEMBHAVI PIN 585216,,YDR00121AYCOC,22 Sep 2026,1,KPME Karnataka Portal,2026-01-19T09:49:20.076496
DR SHAM BHAT CLINIC,Clinic/Polyclinic Only Consultation,Ayurveda,VNR SWARNA SOWDA BANTWAL,,DKA00158AYCOC,20 Nov 2025,1,KPME Karnataka Portal,2026-01-19T09:49:20.160621
ARPITHA CLINIC,Clinic/Polyclinic Only Consultation,Ayurveda,"ANJANEYA TEMPLE STREET, KONANURU, KONANURU HOBALI",,HSN00076AYCOC,17 Oct 2026,1,KPME Karnataka Portal,2026-01-19T09:49:20.207811
Shri Nagendra Clinic,Clinic/Polyclinic Only Consultation,Ayurveda,At/Post Pete Oni Herebagewadi Tq Belagavi Dist Belagavi,BELAGAVI,BLG00115AYCOC,07 Feb 2026,1,KPME Karnataka Portal,2026-01-19T09:49:20.263721
LIVMAX,Clinic/Polyclinic Only Consultation,Allopathy,"MIG-4, NEW KANTHARAJU URS ROAD, NEAR VIJAYA BANK CIRCLE, KUVEMPUNAGAR, MYSORE - 570023",MYSORE,MYS00276ALCOC,28 Dec 2026,1,KPME Karnataka Portal,2026-01-19T09:49:20.295373
Shri Shivashakti Clinic,Clinic/Polyclinic Only Consultation,Ayurveda,Ghatol Galli Sulebhavi,,BLG00111AYCOC,07 Feb 2026,1,KPME Karnataka Portal,2026-01-19T09:49:20.323298
JYOTHIRVAIDYA HOMOEO CLINIC,Clinic/Polyclinic with Dispensary,Homeopathy,SHRINIDHI COMPLEX NELLYADY,,DKA00171HOCWD,21 Dec 2025,1,KPME Karnataka Portal,2026-01-19T09:49:20.351849
EASTERN HEALTH CARE,Clinic/Polyclinic Only Consultation,Allopathy,"No. 11/3 Amoris Building, 2nd Floor, Opposite to Borewell Road Whitefield Main Road, Whitefield, Bengaluru 560066.",BENGALURU,BLU00873ALCOC,27 Oct 2025,1,KPME Karnataka Portal,2026-01-19T09:49:20.432248
MITHRA HI TECH DIAGNOSTIC CENTER,Medical Diagnostic Laboratory,Allopathy,"#360/2, 4TH MAIN, 9TH CROSS, BESIDE VISHWESHWARAIAH PARK, P.J.EXTENTION, DAVANAGERE",DAVANAGERE,DVG00180ALMDL,15 Feb 2026,1,KPME Karnataka Portal,2026-01-19T09:49:20.515246
SHRI SAPTAGIRI CLINIC,Clinic/Polyclinic Only Consultation,Ayurveda,"#216, Kotilinga Nagar, Behind 2nd KSRTC Depot, Gokul Road, Hubballi.",,DWR00255AYCOC,25 Apr 2026,1,KPME Karnataka Portal,2026-01-19T09:49:20.572336
ZAIN HOMOEO SKIN CLINIC,Clinic/Polyclinic Only Consultation,Homeopathy,"#33, UKT Hills, Devargudihal Road, Old Hubli, Hubballi.",HUBLI,DWR00131HOCOC,26 Nov 2025,1,KPME Karnataka Portal,2026-01-19T09:49:20.637453
SRI RAGHAVENDRA ENDOCRINE SUPER SPECIALITY CENTRE,Clinic/Polyclinic with Diagnostic Support,Allopathy,"#4747, Ganesha Temple Road, N.R.Mohalla.",,MYS00708ALCDS,01 Nov 2027,1,KPME Karnataka Portal,2026-01-19T09:49:20.720031
LAKSHMI DIAGNOSTICS,Clinic/Polyclinic with Diagnostic Support,Allopathy,"#293/298, 1ST FLOOR, RYTHARA SANGHA BUILDING ABOVE RSSSN BANK, OPP GOVT HOSPITAL, YELAHANKA OLD TOWN, GANDHINAGAR, BANGALORE -560064.",BANGALORE,BLU12365ALCDS,22 Oct 2030,1,KPME Karnataka Portal,2026-01-19T09:49:20.807239
RAGHAVENDRA POLY CLINIC,Clinic/Polyclinic Only Consultation,Homeopathy,"No.28/1, 5th Main Road, Agrahara Dasarahalli, Bangalore",BANGALORE,BLU01414HOCOC,27 Jan 2026,1,KPME Karnataka Portal,2026-01-19T09:49:20.887266
CHINCHOLI HEART CENTRE,Clinic/Polyclinic Only Consultation,Allopathy,"OPP NAV BHARAT STEEL, BEHIND AVINASH PETROL PUMP, NEHRU GUNJ, KALABURAGI-585104",KALABURAGI,GLB00058ALCOC,01 Dec 2025,1,KPME Karnataka Portal,2026-01-19T09:49:20.961300
M/s. Sumedha Polyclinic & Diabetes Care,Clinic/Polyclinic Only Consultation,Allopathy,"No-37 Panchavathi, Panduranga Layout behind blue Hyundai service center, hesaragatta Road, bhuvaneshwarinagar, T Dasarahalli, Bengaluru -560057",BENGALURU,BLU12654ALCOC,17 Nov 2030,1,KPME Karnataka Portal,2026-01-19T09:49:21.027642
AVANTI CLINIC,Clinic/Polyclinic Only Consultation,Ayurveda,"# 228, KRISHNAPPA NILAYA, OPP PARIWAR PLACE APARTMENT, DEVARACHIKKANAHALLI, B.G ROAD, BANGALORE-560076",BANGALORE,BLU01162AYCOC,20 Nov 2025,1,KPME Karnataka Portal,2026-01-19T09:49:21.106602
M /S GENIUS HEALTH CARE,Clinic/Polyclinic Only Consultation,Homeopathy,1565-3-B-2 DHAMANEKAR BUILDING PARISWAD CROSS,,BLG00186HOCOC,28 Feb 2026,1,KPME Karnataka Portal,2026-01-19T09:49:21.172854
CHIRAAG DIAGNOSTICS,Clinic/Polyclinic Only Consultation,Allopathy,"Ground floor, R.K plaza 3543/2668/4 Giriyamma circle, Devanhalli taluk",,BLR00112ALCOC,31 Dec 2026,1,KPME Karnataka Portal,2026-01-19T09:49:21.240438
Shreshta Homeocare,Clinic/Polyclinic with Dispensary,Homeopathy,"First floor,Shri Krishna Arcade,Kinnigoli Main Road, Mangalore",MANGALORE,DKA01044HOCWD,12 Jun 2027,1,KPME Karnataka Portal,2026-01-19T09:49:21.323017
Cardolite Specialty Chemicals India LLP,Clinic/Polyclinic with Observation,Allopathy,"Mangalore Special Economic Zone, Paila, Bajpe Village and Post, Mangalore.",MANGALORE,DKA00429ALCWO,09 May 2026,1,KPME Karnataka Portal,2026-01-19T09:49:21.411361
My Life Medical Center,Clinic/Polyclinic with Diagnostic Support,Allopathy,"Oberle Tower, Basement / 1st Floor, Balmatta Road, Mangalore",MANGALORE,DKA00262ALCDS,26 Jan 2026,1,KPME Karnataka Portal,2026-01-19T09:49:21.488933
ADR HEALTHCARE CENTER,Clinic/Polyclinic with Diagnostic Support,Allopathy,"JAYAMMA BUILDING, 4TH CROSS, JAYANAGARA",,SMG00087ALCDS,23 Nov 2026,1,KPME Karnataka Portal,2026-01-19T09:49:21.579222
Hemavathi polyclinic and scan center,Clinic/Polyclinic with Diagnostic Support,Allopathy,"Hemavathi polyclinic and scan center,next to nandha medicals,opposite anjaneya temple and car stand,B.M.Road, Channarayapatna-573116, Hassan district.",HASSAN,HSN00177ALCDS,06 Jun 2027,1,KPME Karnataka Portal,2026-01-19T09:49:21.666643
VIJAYA CLINIC,Clinic/Polyclinic Only Consultation,Ayurveda,"BWSSB WEST SIDE, BASAVESHWARA NAGARA, KANAKAPURA TOWN",,RMG00025AYCOC,15 Apr 2026,1,KPME Karnataka Portal,2026-01-19T09:49:21.763274
SHARADA HOSPITAL AND NURSING HOME,Hospital (Level 1A),Allopathy,OLD P B ROAD NEAR CMC NIPANI,,BLG00089ALH1A,11 Jan 2026,1,KPME Karnataka Portal,2026-01-19T09:49:21.851150
SRI SAI LAKSHMI DIABETES AND MEDICAL CLINIC,Clinic/Polyclinic with Dispensary,Allopathy,"MOKA ROAD, OPPMBSL SCHOOL, GANDHINAGAR, BALLARI",BALLARI,BEL00155ALCWD,16 Apr 2026,1,KPME Karnataka Portal,2026-01-19T09:49:21.934146
SRI SAI CLINICAL LABORATORY,Medical Diagnostic Laboratory,Allopathy,"NALLA GANGAMMA TEMPLE BUILDING, AMMAVARPET CIRCLE, KOLAR 563101",KOLAR,KLR00032ALMDL,12 Aug 2026,1,KPME Karnataka Portal,2026-01-19T09:49:21.988018
KINARA CLINIC,Clinic/Polyclinic Only Consultation,Allopathy,"# 5, GANESHA TEMPLE ROAD, N R MOHALLA, MYSORE -570007",MYSORE,MYS00293ALCOC,28 Dec 2026,1,KPME Karnataka Portal,2026-01-19T09:49:22.019087
MANJUSHREE DENTAL CLINIC,Dental Lab or Clinic,Allopathy,"6-129/1C VIJETH COMPLEX, GURUPURA-KAIKAMBA, MULOOR VILLAGE, KINNIKAMBLA POST",,DKA00577ALDEN,25 Oct 2026,1,KPME Karnataka Portal,2026-01-19T09:49:22.078699
SUSHRUTA CLINIC AND DIAGNOSTIC CENTRE,Clinic/Polyclinic with Diagnostic Support,Allopathy,"NO 209 , CHIKKA THATHAGUNI POST , AGARA MAIN ROAD , BANGALORE",BANGALORE,BLU00544ALCDS,17 Aug 2025,1,KPME Karnataka Portal,2026-01-19T09:49:22.177829
NAGESH HOSPITAL,Hospital (Level 3)(Non-Teaching with Super Specialty Services),Allopathy,"MYSORE ROAD, CHANNARAYAPATNA",MYSORE,HSN00039ALHL3,22 Jun 2026,1,KPME Karnataka Portal,2026-01-19T09:49:22.237943
SHIV BABA DISPENSARY CLINIC,Clinic/Polyclinic Only Consultation,Ayurveda,MAIN ROAD DUBALGUNDI,,BDR00054AYCOC,27 Jul 2026,1,KPME Karnataka Portal,2026-01-19T09:49:22.325737
DERMACARE CLINIC,Clinic/Polyclinic with Observation,Allopathy,"#310, 1st floor,6th cross, Kaggadaspura main road, VIgnan Nagar, Thippasandra post , Bangalore",BANGALORE,BLU00575ALCWO,27 Aug 2025,1,KPME Karnataka Portal,2026-01-19T09:49:22.425590
HOMEOCARE INTERNATIONAL PVT LTD,Clinic/Polyclinic with Dispensary,Homeopathy,"D.NO.38/2, 2ND MAIN, 9TH CROSS, PJ EXTENSION, DAVANGERE",,DVG00303HOCWD,02 Jun 2027,1,KPME Karnataka Portal,2026-01-19T09:49:22.525826
Sai Balaji Dental Care,Dental Lab or Clinic,Allopathy,"SAi Balaji Speciality Centre, #2537, Opposite Krishna Kala Mandira, Near Reddy Building, M.C.C.A.Block.",,DVG00259ALDEN,13 Feb 2027,1,KPME Karnataka Portal,2026-01-19T09:49:22.607608
SHIVAYOGI CLINIC,Clinic/Polyclinic Only Consultation,Ayurveda,KAGWAD OPP GRAM PANCHAYAT,,BLG00564AYCOC,30 Jan 2027,1,KPME Karnataka Portal,2026-01-19T09:49:22.705041
B.C ROAD POLYCLINIC & IDEAL DIAGNOSTIC LABORATORY,Clinic/Polyclinic with Diagnostic Support,Allopathy,"GROUND FLOOR, SRINIVAS ARCADE, NEAR PRIVATE BUS STAND, B.C ROAD",,DKA00278ALCDS,08 Feb 2026,1,KPME Karnataka Portal,2026-01-19T09:49:22.791590
TAVARGERI NURSING HOME PVT LTD,Hospital (Level 2),Allopathy,"Near K C Park Post Office, Dharwad.",DHARWAD,DWR01372ALHL2,19 Aug 2030,1,KPME Karnataka Portal,2026-01-19T09:49:22.890821
SHAMS CHILD AND ADULT CARE,Clinic/Polyclinic with Dispensary,Allopathy,"#5, 9th Cross, Bhuvaneshwarinagar, Hebbal Kempapura, Bangalore -560024",BANGALORE,BLU06531ALCWD,22 Jan 2029,1,KPME Karnataka Portal,2026-01-19T09:49:22.981793
AMRUTH CLINIC,Clinic/Polyclinic with Observation,Allopathy,"NO.440, BAZAR ROAD, YELAHANKA, BANGALORE-560064",BANGALORE,BLU01371ALCWO,17 Jan 2026,1,KPME Karnataka Portal,2026-01-19T09:49:23.012970
SHAMBHAVI POLY CLINIC,Clinic/Polyclinic Only Consultation,Allopathy,"GROUND FLOOR, APSARA ARCADE, OPPOSITE CEMENT GODOWN, NEAR M V J ENGINEERING COLLEGE, CHANNASANDRA MAIN ROAD, KADUGODI POST, BANGALORE-560067",BANGALORE,BLU00321ALCOC,08 Jul 2025,1,KPME Karnataka Portal,2026-01-19T09:49:23.057847
Shree Siddalingeshwara Yogavana Hills,Health Check-up Centre,Ayurveda,"# 36, KG Gollarapalay, Bolare post, off kanakapura Road, Biidadi Hobli Ramanagara Taluk and District",RAMANAGARA,RMG00003AYHCC,02 Feb 2026,1,KPME Karnataka Portal,2026-01-19T09:49:23.135248
SAI KRUPA CLINIC,Clinic/Polyclinic Only Consultation,Allopathy,"K.NARAYANAPURA, NEAR GANESHA TEMPLE, KOTHANNR POST, BANGALORE-560077",BANGALORE,BLU00322ALCOC,08 Jul 2025,1,KPME Karnataka Portal,2026-01-19T09:49:23.211930
SAKSHI CLINIC,Clinic/Polyclinic with Dispensary,Allopathy,"KUDLIGI CIRCLE, RAMNAGAR, HAGARIBOMMANAHALLI",,BEL00105ALCWD,03 Feb 2026,1,KPME Karnataka Portal,2026-01-19T09:49:23.285852
MARUTHI CLINIC,Clinic/Polyclinic Only Consultation,Ayurveda,"SHOP NO.2, NEAR PRESIDENCY SCHOOL, JYOTHI NAGARA, AMARAPURA ROAD, SIRA TALUK, TUMKUR DISTRICT-572137",,TMK00110AYCOC,18 Feb 2026,1,KPME Karnataka Portal,2026-01-19T09:49:23.356802
Wipro Limited,Clinic/Polyclinic with Observation,Allopathy,"No 72 EC123 Phase 1,Electronic city Bangalore",BANGALORE,BLU02381ALCWO,19 Sep 2026,1,KPME Karnataka Portal,2026-01-19T09:49:23.441514
SRI GURU BAKKESHWARA UROLOGY KIDNEY STONE CLINIC & SARVAMANGALA LAB,Clinic/Polyclinic with Diagnostic Support,Allopathy,"D.NO.283, 4TH MAIN ROAD, OPP. VISHVESHWARAIAH PARK, P.J.EXTENSION, DAVANGERE",,DVG00328ALCDS,19 Jun 2027,1,KPME Karnataka Portal,2026-01-19T09:49:23.539662
GAJAKOSH HOSPITAL,Hospital (Level 2),Allopathy,"VIJAYAPUR ROAD INDI, TQ INDI, DIST VIJAYAPUR",,BIJ00191ALHL2,02 Apr 2026,1,KPME Karnataka Portal,2026-01-19T09:49:23.627762
Sanjeevini Hospital,Clinic/Polyclinic Only Consultation,Allopathy,"Sanjeevini Hospital Besides ZP Office, NM road Chikkodi 591201",,BLG00054ALCOC,07 Dec 2025,1,KPME Karnataka Portal,2026-01-19T09:49:23.716768
JHANVI EYE CARE,Clinic/Polyclinic Only Consultation,Allopathy,NEAR SANJAY INDIAN GAS MADIVAL CHOWK BIDAR,BIDAR,BDR00181ALCOC,26 Sep 2027,1,KPME Karnataka Portal,2026-01-19T09:49:23.794267
Glow & grow,Clinic/Polyclinic Only Consultation,Ayurveda,Golden plaza court road kalburgi,,GLB00107AYCOC,01 Jan 2026,1,KPME Karnataka Portal,2026-01-19T09:49:23.857342
MITRA MEDICAL CENTRE,Clinic/Polyclinic with Diagnostic Support,Allopathy,"#24, GROUND FLOOR, 2ND CROSS, KUMARSWAMY LAYOUT 1ST STAGE, BANGALORE 560078.",BANGALORE,BLU12408ALCDS,26 Oct 2030,1,KPME Karnataka Portal,2026-01-19T09:49:23.915199
City hospital,Hospital (Level 1B),Allopathy,julai nagar,,KPL00126ALH1B,17 Sep 2027,1,KPME Karnataka Portal,2026-01-19T09:49:23.982359
SMILE DENTAL CARE CLINIC AND SKIN AESTHETICS,Dental Lab or Clinic,Allopathy,"#73, 2nd Main, Near Shivalaya, Sri Nagar, Dharwad.",DHARWAD,DWR00129ALDEN,26 Nov 2025,1,KPME Karnataka Portal,2026-01-19T09:49:24.024750
PRAGATHI HOSPITAL,Hospital (Level 1A),Allopathy,VP EXTENSION MAIN ROAD OPP MRP LODGE OLD JP NURSING HOME,,CTR00013ALH1A,03 Feb 2026,1,KPME Karnataka Portal,2026-01-19T09:49:24.103955
DR K.G.KULKARNI HOSPITAL,Clinic/Polyclinic Only Consultation,Allopathy,"Dr KG Kulkarni Hospital, Dr Simpilinganna Road Koppal",KOPPAL,KPL00002ALCOC,27 Jul 2026,1,KPME Karnataka Portal,2026-01-19T09:49:24.173141
LIFECELL INTERNATIONAL PVT.LTD.,Medical Diagnostic Laboratory,Allopathy,"NO. 73/1, OLD NO.406, 2ND AND 3RD FLOOR, 20TH MAIN ROAD, 1ST BLOCK WOC ROAD, NEAR INDIRA CANTEEN RAJAJI NAGAR, BANGALORE -560010.",BANGALORE,BLU12607ALMDL,12 Nov 2030,1,KPME Karnataka Portal,2026-01-19T09:49:24.238975
DR. GURUSHANTAPPA YALAGACHIN CLINIC,Clinic/Polyclinic Only Consultation,Allopathy,"F-3, Doctor House, D-Block, 1st Floor, Revankar Complex, Court Circle, Hubballi.",,DWR00319ALCOC,24 Jul 2026,1,KPME Karnataka Portal,2026-01-19T09:49:24.328877
HSN Super Speciality Hair Transplantation Centre,Hospital (Level 1A),Allopathy,"No.2948, 2nd and 3rd floor, MKK Road, D Block, Rajajinagar, Bengaluru-560010",BENGALURU,BLU01714ALH1A,24 Mar 2026,1,KPME Karnataka Portal,2026-01-19T09:49:24.414668
AYUSHDHAMA ORTHO NEURO HOSPITAL,AYUSH Therapy Centre,Ayurveda,"B V S Road,Near Shastri Circle,Vaderhobali, Kundapura",,UDP00035AYATC,10 Jan 2026,1,KPME Karnataka Portal,2026-01-19T09:49:24.491701
OSMANIA HEALTH CARE CENTRE,Clinic/Polyclinic Only Consultation,Ayurveda,JABBAR HUSSAIN QURESHI COMPLEX NEAR NAHARU CHOWK CHITGUPPA,,BDR00284AYCOC,18 Dec 2028,1,KPME Karnataka Portal,2026-01-19T09:49:24.548786
PRAKRIYA MEDICAL AND ONCOLOGY CENTER AND ASHA KIRANA DIAGNOSTIC CENTER,Clinic/Polyclinic with Diagnostic Support,Allopathy,"AMAR JYOTHI NAGAR, BESIDE INCOME TAX DEPARTMENT STAFF QUARTERS, NEAR SAI BABA TEMPLE, KUNIGAL ROAD, TUMKUR DISTRICT-572101",,TMK00075ALCDS,09 Dec 2025,1,KPME Karnataka Portal,2026-01-19T09:49:24.627851
SADHANA CLINICAL LABORATORY,Medical Diagnostic Laboratory,Allopathy,BASTI KAIKINI BHATKAL,,UKA00017ALMDL,17 Feb 2026,1,KPME Karnataka Portal,2026-01-19T09:49:24.708549
CHIRAYU CLINIC,Clinic/Polyclinic Only Consultation,Allopathy,"R.no 20 , 1st floor , Gandhi Bhavan ,behind hotel Sanman ,college road,Belagavi",BELAGAVI,BLG00376ALCOC,29 Jul 2026,1,KPME Karnataka Portal,2026-01-19T09:49:24.785858
GURURAJ CLINIC,Clinic/Polyclinic Only Consultation,Homeopathy,"GANDHI NAGARA, POST HEBLE, BHATKAL",,UKA00030HOCOC,06 Jun 2026,1,KPME Karnataka Portal,2026-01-19T09:49:24.883334
Dr.Ohm Indo German Hospital Chittapur,Hospital (Level 1A),Allopathy,Jyothi Seva Kendra Trust Chittapur,,GLB00040ALH1A,16 Nov 2025,1,KPME Karnataka Portal,2026-01-19T09:49:24.981600
Laxmi Clinic,Clinic/Polyclinic with Dispensary,Ayurveda,"Jalikatti Oni, Neelagund",,BGK01217AYCWD,02 Oct 2030,1,KPME Karnataka Portal,2026-01-19T09:49:25.058241
DERMASCULPT CLINIC,Clinic/Polyclinic with Observation,Allopathy,"1944 , SOUTH D CROSS EAST END , JAYANAGAR 9TH BLOCK, BANGALORE",BANGALORE,BLU00495ALCWO,06 Aug 2025,1,KPME Karnataka Portal,2026-01-19T09:49:25.148513
Shri Banashankari Clinic,Clinic/Polyclinic Only Consultation,Ayurveda,"CTS No.4017 Drakshi Galli, Opposite Ambedkar Bhavan, Vijayapur Road Athani",,BLG00249AYCOC,19 Mar 2026,1,KPME Karnataka Portal,2026-01-19T09:49:25.247002
Nihaal Dental Care,Dental Lab or Clinic,Allopathy,"KT no 1639, opp bed college 6th cross",,MAN00070ALDEN,19 Feb 2026,1,KPME Karnataka Portal,2026-01-19T09:49:25.338676
Vedant Clinic,Clinic/Polyclinic Only Consultation,Ayurveda,"Main Road, Mutaga",,BLG00019AYCOC,16 Sep 2025,1,KPME Karnataka Portal,2026-01-19T09:49:25.432712
HEALTH CARE DIAGNOSTIC LABORATORY,Medical Diagnostic Laboratory,Allopathy,"MENEZES PLAZA, FARANGIPET, BANTWAL",,DKA00636ALMDL,06 Feb 2027,1,KPME Karnataka Portal,2026-01-19T09:49:25.531154
CLINIC,Clinic/Polyclinic with Dispensary,Allopathy,"THUMBE, BANTWAL",,DKA00410ALCWD,28 Mar 2026,1,KPME Karnataka Portal,2026-01-19T09:49:25.627526
Harithasa multispeciality clininc and diagnostics,Clinic/Polyclinic with Diagnostic Support,Allopathy,"103, 3rd main, ramanjaneyanagar, bangalore 560061",BANGALORE,BLU00602ALCDS,30 Aug 2025,1,KPME Karnataka Portal,2026-01-19T09:49:25.676097
Gayatri clinic,Clinic/Polyclinic Only Consultation,Homeopathy,15/12/court mohalla street Miller pet Ballari,BALLARI,BEL00144HOCOC,04 Mar 2026,1,KPME Karnataka Portal,2026-01-19T09:49:25.770518
Clinic,Clinic/Polyclinic with Dispensary,Ayurveda,Amruthadhara Clinic adyanadka post bantwal taluk,,DKA00156AYCWD,20 Nov 2025,1,KPME Karnataka Portal,2026-01-19T09:49:25.863595
Srusti health center,Clinic/Polyclinic Only Consultation,Allopathy,"No 8 , srusti health centre, hosakerehalli main road, bsk 3rd stage, Bangalore 85",BANGALORE,BLU03219ALCOC,29 Mar 2027,1,KPME Karnataka Portal,2026-01-19T09:49:25.957174
DR P SUBBA RAO,Clinic/Polyclinic Only Consultation,Allopathy,"Bank of Baroda Building, Church Road, Bejai, Mangalore",MANGALORE,DKA03160ALCOC,04 Nov 2030,1,KPME Karnataka Portal,2026-01-19T09:49:26.003208
DR BHAGWAT SKIN CLINIC,Clinic/Polyclinic Only Consultation,Allopathy,"Shop No.: 2&3, 2nd Floor, Galaxy Mall, Beside Womens College, J.C. Nagar, Hubballi-580020",,DWR00168ALCOC,15 Jan 2026,1,KPME Karnataka Portal,2026-01-19T09:49:26.058752
MN Speciality Clinic and Diagnostic Centre,Clinic/Polyclinic with Diagnostic Support,Allopathy,"NO 9, 24TH MAIN,J.P NAGAR, 06TH PHASE, OPP IDBI BANK, BANGALORE-560078",BANGALORE,BLU02179ALCDS,10 Aug 2026,1,KPME Karnataka Portal,2026-01-19T09:49:26.155798
PRABHU NURSING HOME,Hospital (Level 1A),Allopathy,"Opp. old bus stand ,shiggaon",,HVR00237ALH1A,11 Oct 2026,1,KPME Karnataka Portal,2026-01-19T09:49:26.233371
SRI HARI DIAGNOSTICS,Diagnostic Imaging Centre,Allopathy,"102, FIRST FLOOR, ANAND CHAMBERS, ELEPHANT ROCK ROAD, 3 RD BLOCK, JAYANAGAR, BANGALORE. 560011. Ph.No : 7090712345",BANGALORE,BLU01281ALDIC,23 Dec 2025,1,KPME Karnataka Portal,2026-01-19T09:49:26.296064
Guru Sparsha Clinic,Clinic/Polyclinic Only Consultation,Allopathy,"KaranjiKatte Road, Opp Ambika Drip Centre, Next to KSRTC Buss stand kolar",KOLAR,KLR00040ALCOC,12 Aug 2026,1,KPME Karnataka Portal,2026-01-19T09:49:26.371876
