id,establishment_name,category,system_of_medicine,address,district,certificate_number,certificate_validity,latitude,longitude,email,phone,num_beds,land_area_sqft,building_area_sqft,page_number
1,DOCTORS DIAGNOSTIC CENTRE Unit of Dr Jayarams Diagnostic Centre Pvt Ltd.,Medical Diagnostic Laboratory,Allopathy,"#83, N K Complex Kammanahalli main road Bangalore - 560084",BANGALORE,BLU00268ALMDL,04 Jun 2025,13.0159044,77.63786189,lab@doctorsdiagnostic.com,9844441169,0,Buliding Area(sq.ft):,,1
2,Sri Raghavendra Clinic,Clinic/Polyclinic Only Consultation,Ayurveda,"Near Sidalingapura Petrol Bunk, Siddalingapura, Mysore Tq.",MYSORE,MYS00619AYCOC,07 Jul 2027,12.36,76.66,Phone:,9902799501,0,Buliding Area(sq.ft):,,3
3,Nitte Daycare Imaging center Unit of Nitte Day care Center,Diagnostic Imaging Centre,Allopathy,Extension Center of Justice K S Hegde Charitable Hospital Pentagon Building Pumpwell,,DKA01153ALDIC,21 Jul 2027,12.8592,74.8594,anil@nitte.edu.in,9886214748,0,Buliding Area(sq.ft):,78608,4
4,SRI GURU BAKKESHWARA UROLOGY KIDNEY STONE CLINIC & SARVAMANGALA LAB,Clinic/Polyclinic with Diagnostic Support,Allopathy,"D.NO.283, 4TH MAIN ROAD, OPP. VISHVESHWARAIAH PARK, P.J.EXTENSION, DAVANGERE",,DVG00328ALCDS,19 Jun 2027,14.458925,75.917593,drhbshivakumar@gmail.com,9845261061,0,Buliding Area(sq.ft):,,2
5,SAI DHANVANTHRI CLINIC,Clinic/Polyclinic with Observation,Allopathy,"SATGUNA SANGRAHA KENDRA SY NO.61/1, #217 A,NEAR RYAN INTERNATIONAL SCHOOL, KUNDALAHALLI",,BLU03424ALCWO,06 Jun 2027,12.963990,77.721573,premir@yahoo.com,9901851991,0,Buliding Area(sq.ft):,,1
6,SREE MOOKAMBIKA CLINIC,Clinic/Polyclinic with Dispensary,Ayurveda,"MAIN ROAD ALOOR,ALOOR POST AND VILLAGE KUNDAPURA TALUK,UDUPI DISTRICT",UDUPI,UDP00273AYCWD,02 Sep 2026,13.76,74.76,Phone:,9902575848,0,285,,3
7,GAJAKOSH HOSPITAL,Hospital (Level 2),Allopathy,"VIJAYAPUR ROAD INDI, TQ INDI, DIST VIJAYAPUR",,BIJ00191ALHL2,02 Apr 2026,17.169593,75.955302,Phone:,9901021781,30,Buliding Area(sq.ft):,,2
8,SRI VENKATESHWARA HOSPITAL,Hospital (Level 2),Allopathy,"Maruthi Extention, Malur",,KLR00193ALHL2,25 Dec 2027,13.0037,77.9383,malursuresh@gmail.com,7411199159,15,Buliding Area(sq.ft):,,4
9,DR AGARWALS HEALTH CARE LIMITED,Clinic/Polyclinic with Observation,Allopathy,"NO2, 1ST FLOOR,100 FEET RING ROAD BANASHANKARI 3rd stage bengaluru 560085",BENGALURU,BLU00508ALCWO,10 Aug 2025,12.9249,77.5662,admin.karnataka@dragarwals.com,8884477924,0,7110,6820,1
10,SRI RAM DIAGNOSTICS &WOMEN CLINIC,Clinic/Polyclinic with Diagnostic Support,Allopathy,"16TH MAIN ROAD,RTO ROAD,NEAR BANDE PARK ,CHANDRAREDDY LAYOUT,DEVARACHIKKANAHALLI,BANGALORE -560076",BANGALORE,BLU02092ALCDS,11 Jul 2026,12.88,77.61,theertheshmanjunath@gmail.com,9902567306,0,Buliding Area(sq.ft):,,3
11,VISHWACHETANA AYURVEDIC CHIKITSALAYA,AYUSH Therapy Centre,Ayurveda,CROWN ARCADE 2ND FLOOR BESIDE NEW VENKATAGIRI HOTEL OLD JEWARGI ROAD NEAR RAM MANDIR KALABURAGI,KALABURAGI,GLB00265AYATC,22 Jun 2026,17.302304,76.818102,drsatishmpatilayu@gmail.com,9481077074,0,1730,1730,2
