establishment_id,establishment_name,treatment_name,treatment_code,amount
1,DOCTORS DIAGNOSTIC CENTRE Unit of Dr Jayarams Diagnostic Centre Pvt Ltd.,,-,0.00
2,Sri Raghavendra Clinic,consultation,-,100.00
4,SRI GURU BAKKESHWARA UROLOGY KIDNEY STONE CLINIC & SARVAMANGALA LAB,RENAL STUNTING,-,1500.00
4,SRI GURU BAKKESHWARA UROLOGY KIDNEY STONE CLINIC & SARVAMANGALA LAB,RENAL CATHETER,-,800.00
3,Nitte Daycare Imaging center Unit of Nitte Day care Center,Day care,-,1000.00
5,SAI DHANVANTHRI CLINIC,FREE TREATMENT,-,10.00
6,SREE MOOKAMBIKA CLINIC,General health,-,100.00
7,GAJAKOSH HOSPITAL,BP CHECK UP,-,50.00
7,GAJAKOSH HOSPITAL,NORMAL DELIVERY,-,5000.00
7,GAJAKOSH HOSPITAL,C SECTION,-,20000.00
8,SRI VENKATESHWARA HOSPITAL,CBC widal,-,250.00
8,SRI VENKATESHWARA HOSPITAL,injection,-,40.00
8,SRI VENKATESHWARA HOSPITAL,suturing,-,30.00
8,SRI VENKATESHWARA HOSPITAL,Dressing,-,30.00
8,SRI VENKATESHWARA HOSPITAL,Nebulization,-,20.00
9,DR AGARWALS HEALTH CARE LIMITED,AC WASH,-,10000.00
9,DR AGARWALS HEALTH CARE LIMITED,ANTERIOR STROMAL PUNCTURE,-,2000.00
9,DR AGARWALS HEALTH CARE LIMITED,CHALAZION,-,5000.00
9,DR AGARWALS HEALTH CARE LIMITED,CRYOPEXY,-,5000.00
9,DR AGARWALS HEALTH CARE LIMITED,IMPLANT PLASTY,-,15000.00
10,SRI RAM DIAGNOSTICS &WOMEN CLINIC,bp chekup,-,300.00
11,VISHWACHETANA AYURVEDIC CHIKITSALAYA,PANCHAKARMA,-,800.00
12,Dr Jagadeesh Orthopaedic Sports Medicine and Skin Center,xray,-,500.00
13,SAPTHAGIRI SKIN CARE CLINIC.,ELECTROCAUTERY/RADIOFREQUENCY.--RS-300-800. / ILS--RS-200/DERMAROLLER- -RS-3000. CORN PARING--RS-200.,-,-200.00
14,GAYATRI NURSING HOME,OT PROCEDURE MISSED CU T,-,2000.00
14,GAYATRI NURSING HOME,OT PROCEDURE I TRIMESTER,-,3000.00
14,GAYATRI NURSING HOME,OT PROCEDURE II TRIMESTER,-,6000.00
14,GAYATRI NURSING HOME,EPISIOTOMY RESUTURE,-,1500.00
14,GAYATRI NURSING HOME,PERINEALTEAR I TO IIDEGREE,-,2500.00
14,GAYATRI NURSING HOME,BREAST ABSCESS I AND D,-,1500.00
14,GAYATRI NURSING HOME,NORMAL DELIVERY WITHOUT EPISIOTOMY,-,1200.00
14,GAYATRI NURSING HOME,NORMAL DELIVERY WITH EPISIOTOMY,-,2500.00
14,GAYATRI NURSING HOME,LSCS,-,900.00
14,GAYATRI NURSING HOME,HYSTERECTOMY ABDOMINAL VAGINAL,-,10000.00
14,GAYATRI NURSING HOME,CU T INSERTION,-,350.00
14,GAYATRI NURSING HOME,CU T REMOVAL,-,100.00
14,GAYATRI NURSING HOME,CERVICAL BIOSPY,-,1000.00
14,GAYATRI NURSING HOME,ENDOMETRIAL BIOPSY UPTO,-,250.00
14,GAYATRI NURSING HOME,PAPS SMEAR,-,250.00
14,GAYATRI NURSING HOME,OUTLET FORCEPS,-,5500.00
16,SRI GANESH XRAY DIAGNOSTIC CENTRE,XRAY,-,400.00
16,SRI GANESH XRAY DIAGNOSTIC CENTRE,ULTRA SOUND SCANNING,-,800.00
15,Sanjeevini Hospital,ECG,-,300.00
15,Sanjeevini Hospital,Injection Charges,-,100.00
15,Sanjeevini Hospital,Nebulisation charges,-,30.00
15,Sanjeevini Hospital,GRBS,-,50.00
17,SRI KRISHNA HOSPITALS AND HEALTHCARE,PLASTERING,-,1500.00
17,SRI KRISHNA HOSPITALS AND HEALTHCARE,INJECTION,-,100.00
17,SRI KRISHNA HOSPITALS AND HEALTHCARE,BP,-,50.00
17,SRI KRISHNA HOSPITALS AND HEALTHCARE,SUGAR,-,50.00
18,VIVEKANANDA CLINIC,DRESSING CHARGE,-,50.00
18,VIVEKANANDA CLINIC,NEBILIZATION,-,100.00
18,VIVEKANANDA CLINIC,HOME VISIT,-,250.00
18,VIVEKANANDA CLINIC,BP CHECK UP,-,50.00
20,JHANVI EYE CARE,ecg,-,200.00
19,PATIL CLINIC,I V Injection Charges,-,80.00
19,PATIL CLINIC,I V Fluid Charges,-,200.00
19,PATIL CLINIC,B P Checking Charges,-,20.00
19,PATIL CLINIC,Injection Charges,-,70.00
19,PATIL CLINIC,Dressing Charges,-,30.00
19,PATIL CLINIC,Visiting Charges,-,100.00
19,PATIL CLINIC,Night Checking Charges,-,100.00
22,ANUGRAHA CLINIC,Dressing Charge,-,50.00
22,ANUGRAHA CLINIC,BP Checkup,-,20.00
22,ANUGRAHA CLINIC,GRBS,-,50.00
22,ANUGRAHA CLINIC,Injection Charge IM,-,20.00
22,ANUGRAHA CLINIC,Nebulization Charge,-,70.00
23,Glow & grow,mesotherapy,-,3000.00
23,Glow & grow,prp,-,6000.00
23,Glow & grow,acne treatment,-,2500.00
23,Glow & grow,face resurfacing,-,3500.00
23,Glow & grow,skin whitening,-,4500.00
23,Glow & grow,scalp exfoliation,-,1500.00
23,Glow & grow,vampire face treatment,-,4000.00
23,Glow & grow,cautery,-,100.00
23,Glow & grow,hydraface treatment,-,3000.00
23,Glow & grow,rf face treatment,-,2000.00
23,Glow & grow,rf hands,-,1500.00
24,Trinity Dental Care,ROOT CANAL TREATMENT,-,1800.00
24,Trinity Dental Care,X RAY NORMAL,-,200.00
24,Trinity Dental Care,X RAY IOPA RVG,-,300.00
24,Trinity Dental Care,EXTRACTION OPEN METHOD DIFFICULT,-,1000.00
24,Trinity Dental Care,IMPACTION SURGERY,-,2500.00
24,Trinity Dental Care,PEDO Xn,-,250.00
24,Trinity Dental Care,Scaling,-,700.00
24,Trinity Dental Care,Polishing,-,250.00
24,Trinity Dental Care,Frenectomy,-,1500.00
24,Trinity Dental Care,Operculectomy,-,1500.00
24,Trinity Dental Care,Temporary Filling,-,250.00
24,Trinity Dental Care,EXTRACTION,-,350.00
24,Trinity Dental Care,Flap Surgery Root Planning,-,2000.00
21,V CARE MEDISCON HOSPITAL,POP charges,-,900.00
21,V CARE MEDISCON HOSPITAL,Burn Dressing,-,1200.00
21,V CARE MEDISCON HOSPITAL,Physiotherapy,-,250.00
21,V CARE MEDISCON HOSPITAL,Dressing,-,400.00
21,V CARE MEDISCON HOSPITAL,POP Removal charges,-,250.00
21,V CARE MEDISCON HOSPITAL,Suture Charges,-,150.00
21,V CARE MEDISCON HOSPITAL,Nebulization,-,40.00
21,V CARE MEDISCON HOSPITAL,Foleys Catherization,-,250.00
