id,establishment_name,category,system_of_medicine,address,district,certificate_number,certificate_validity,latitude,longitude,email,phone,num_beds,land_area_sqft,building_area_sqft,page_number
14,GAYATRI NURSING HOME,Hospital (Level 1B),Allopathy,NAGUR LAYOUT NEAR AMBEDKAR CIRCLE SINDAGI DIST VIJAYAPUR,,BIJ00374ALH1B,05 Feb 2027,16.923743,76.231549,sharadanadagoud@gmail.com,9449237454.0,12.0,3000.0,5200.0,3
30,City hospital,Hospital (Level 1B),Allopathy,julai nagar,,KPL00126ALH1B,17 Sep 2027,15.25,76.31,city.gvt@gmail.com,9845339610.0,15.0,1080.0,3240.0,2
41,TASMIA CLINIC,Clinic/Polyclinic Only Consultation,Ayurveda,"NO 39,9TH MAIN ROAD PADARAYANAPURA BENGALURU",BENGALURU,BLU00788AYCOC,07 Oct 2025,12.9650634,77.5567576,naziasalma0301@gmail.com,9731483581.0,0.0,180.0,1500.0,1
55,Plexus Neuro and Stem Cell Research Centre,Clinic/Polyclinic with Observation,Allopathy,"No. 503, 3rd Main, 5th Cross, OMBR Layout, Banaswadi, BANGALORE",BANGALORE,BLU02723ALCWO,07 Dec 2026,13.001296,77.629909,drnaeem@plexusnc.com,9900700886.0,0.0,4000.0,6000.0,3
61,AYUSHDHAMA ORTHO NEURO HOSPITAL,AYUSH Therapy Centre,Ayurveda,"B V S Road,Near Shastri Circle,Vaderhobali, Kundapura",,UDP00035AYATC,10 Jan 2026,13.62,74.69,info@ayushdhama.com,9448428446.0,0.0,14984.0,17268.0,2
65,Kanthi Nursing Home,Hospital (Level 2),Allopathy,APMC Cross Kanthi Nagar Sikkeri Road Navanagar Bagalkot,,BGK00224ALHL2,20 Dec 2026,16.8244,75.7154,Phone:,9880742111.0,48.0,50000.0,56000.0,4
71,Kavalur Clinic,Clinic/Polyclinic Only Consultation,Ayurveda,"Kavalur Clinic, Rajiv Gandhi Nagar, Gadag",GADAG,GDG00091AYCOC,13 Jan 2027,15.4221,75.6591,rk.9886742308@gmail.com,8618624586.0,0.0,300.0,400.0,3
99,lakshmimaternity and surgical center,Hospital (Level 2),Allopathy,95 15th cross margosa road malleswaram,,BLU02180ALHL2,10 Aug 2026,12.97,77.59,maheshraob@hotmail.com,9845031002.0,40.0,7000.0,14400.0,2
100,TEATREE HEALTHCARE PVT LTD,Hospital (Level 2),Allopathy,"#3, Plot No.37/2A Off, Hosur Rd, AECS Layout - A Block, Singasandra, Bengaluru, Karnataka 560068",BENGALURU,BLU02527ALHL2,22 Oct 2026,12.874487,77.651239,Rajagc@teatreehealthcare.com,9141588755.0,15.0,1950.0,5850.0,4
101,ARYA VAIDYA SALA KOTTAKKAL,AYUSH Therapy Centre,Ayurveda,14/1 MARUDEVA ENCLAVE 5TH CROSS 9TH MAIN JAYANAGAR 2ND BLOCK BANGALORE-560011,BANGALORE,BLU03815AYATC,27 Sep 2027,12.9412,77.5839,avsbangalore@gmail.com,9916176000.0,0.0,3045.0,4036.0,4
117,shekar eye hospital a unit of varasiddi hospitals,Clinic/Polyclinic with Observation,Allopathy,"#633, 100 Feet Ring Road JP Nagar 3rd Phase ,",,BLU01689ALCWO,22 Mar 2026,12.906,77.5959,crr@shekareyehospital.com,9148147173.0,0.0,10645.0,12000.0,2
127,SRI RAGHAVENDRA CLINIC,Clinic/Polyclinic Only Consultation,Allopathy,RAJMAHAL COMPLEX KUDIGE ROAD MULLUSOGE KUSHALNAGAR,,KDG00147ALCOC,13 Oct 2027,12.465709,75.963402,charanspandan09@gmail.com,7019283821.0,0.0,400.0,700.0,1
137,ACQUITY LABS PRIVATE LIMITED,Medical Diagnostic Laboratory,Allopathy,"No 515, 4th Main 1st stage, 4th Block HBR layout Kalyan Nagar Post, Bengaluru",BENGALURU,BLU03037ALMDL,20 Feb 2027,13.035338,77.629084,hanumantagoudab@cloudninecare.com,7259922398.0,0.0,4333.0,8667.0,4
170,ZAHRA DENTAL CLINIC,Dental Lab or Clinic,Allopathy,"JANAKI DHAMA BUILDING, KAMBLA CROSS ROAD, KUDROLI , MANGALORE",MANGALORE,DKA00198ALDEN,20 Jan 2026,12.87,74.83,zahradental77@gmail.com,8073842663.0,0.0,250.0,500.0,4
195,SRI RAGHAVENDRA CLINIC,Clinic/Polyclinic Only Consultation,Allopathy,"NO 1182 , 2ND CROSS ASHOKNAGAR",,MAN00067ALCOC,09 Feb 2026,12.5260439,76.898674,Phone:,9448046223.0,0.0,400.0,430.0,1
215,SUSHODHA AYURVEDA HEALTH CARE CENTER,AYUSH Therapy Centre,Ayurveda,"M NO 5-1-230/8, CBS COLONY, HOSALLI ROAD, GANGAVATHI",,KPL00024AYATC,03 Mar 2027,15.40211,76.54676,drsunilarali@gmail.com,9844403866.0,0.0,1800.0,2600.0,2
216,HOYSALA HOSPITAL,Hospital (Level 2),Allopathy,"Shankar Mutta Road, Hassan",HASSAN,HSN00061ALHL2,03 Sep 2026,13.009711,76.102898,hoysalahospital@gmail.com,9448061866.0,10.0,4704.0,5000.0,1
219,Naveen Hospital,Hospital (Level 1A),Allopathy,IB Road Raichur,RAICHUR,RCR00024ALH1A,17 Apr 2026,16.216,77.3566,drkrpn@gmail.com,9448897639.0,50.0,10895.0,12800.0,2
221,BENAKA CHILD CARE CLINIC,Clinic/Polyclinic Only Consultation,Allopathy,"Dr Geetha #2815 Gandhi Nagara, 5th cross Mandya",MANDYA,MAN00050ALCOC,21 Jan 2026,12.5,76.89,Phone:,9449039222.0,0.0,504.0,1716.0,1
225,M.B. Dental Clinic,Dental Lab or Clinic,Allopathy,"Brundha Complex, Beside Bustand , Hassan Road, Ramanathapur,Arkalgud-T, Hassan District-573133",HASSAN,HSN00097ALDEN,24 Jan 2027,12.6639,76.088,mohammedadil701@gmail.com,9945515701.0,0.0,200.0,300.0,1
244,SRI PAMPAPATI AYURVEDA CLINIC,Clinic/Polyclinic Only Consultation,Ayurveda,"SRI PAMPAPATI COMPLEX, OPP SVM COLLEGE, NEAR BUS STAND, ILKAL.",,BGK00040AYCOC,11 Nov 2025,,,drbasugs@gmail.com,9449355869.0,0.0,275.0,1200.0,4
255,SUSHRUTA MEDICAL AID AND RESEARCH HOSPITAL LIMITED,Specialty / Super-Specialty Specific Hospital,Allopathy,NO.202 RASHTRIYA VIDYALAYA ROAD BASAVANGUDI BANGALORE 560004,BANGALORE,BLU03321ALSSH,25 Apr 2027,12.9378,77.5803,Phone:,7676273505.0,200.0,21043.0,100000.0,2
269,suresh hospital and maternity home,Hospital (Level 2),Allopathy,"opp mohan theatre,hegganahalli main road bangalore91",BANGALORE,BLU12224ALHL2,17 Sep 2030,13.00431,77.4975,Phone:,9886692645.0,28.0,1589.0,3228.0,4
275,SUSHODHA AYURVEDA HEALTH CARE CENTER,AYUSH Therapy Centre,Ayurveda,"M NO 5-1-230/8, CBS COLONY, HOSALLI ROAD, GANGAVATHI",,KPL00024AYATC,03 Mar 2027,15.40211,76.54676,drsunilarali@gmail.com,9844403866.0,0.0,1800.0,2600.0,1
278,Naveen Hospital,Hospital (Level 1A),Allopathy,IB Road Raichur,RAICHUR,RCR00024ALH1A,17 Apr 2026,16.216,77.3566,drkrpn@gmail.com,9448897639.0,50.0,10895.0,12800.0,1
280,RajaRajeswari Medical College & Hospital,Hospital (Level 4)(Teaching),Allopathy,"No. 202 Kambipura, Mysore Road, Bangalore 560074.",MYSORE,BLU01940ALHL4,16 May 2026,12.8954,77.4611,Phone:,9900028028.0,0.0,1089000.0,1500000.0,2
287,Padmashree Clinic,Clinic/Polyclinic with Observation,Allopathy,"Head Office, Lakshmeshwar",,GDG00021ALCWO,18 Apr 2026,15.5461,76.5431,chandrakala.basti@gmail.com,7411190385.0,0.0,2496.0,3462.0,3
294,LAKSHMI CHILD CLINIC,Clinic/Polyclinic Only Consultation,Allopathy,BEHIND BHAVANI TILES NEAR BALAMURGAN TEMPLE CORONATION RAOD BANGARPET,,KLR00126ALCOC,28 Feb 2027,12.9876481,78.1807209,drkdhanalakshmi64@gmail.com,9448402576.0,0.0,120.0,1380.0,4
307,SUSHRUTA MEDICAL AID AND RESEARCH HOSPITAL LIMITED,Specialty / Super-Specialty Specific Hospital,Allopathy,NO.202 RASHTRIYA VIDYALAYA ROAD BASAVANGUDI BANGALORE 560004,BANGALORE,BLU03321ALSSH,25 Apr 2027,12.9378,77.5803,Phone:,7676273505.0,200.0,21043.0,100000.0,1
329,RajaRajeswari Medical College & Hospital,Hospital (Level 4)(Teaching),Allopathy,"No. 202 Kambipura, Mysore Road, Bangalore 560074.",MYSORE,BLU01940ALHL4,16 May 2026,12.8954,77.4611,Phone:,9900028028.0,0.0,1089000.0,1500000.0,1
363,Manthale Dental Clinic,Dental Lab or Clinic,Allopathy,Main road Haralayya circle,,BDR00134ALDEN,12 Jun 2027,17.8626631,76.9482791,manthale.ramesh44@gmail.com,9035557001.0,0.0,250.0,300.0,2
370,ACCULABS,Medical Diagnostic Laboratory,Allopathy,"#121,1st Floor,2nd Phase,2nd Stage,West Of Chord,Mahalakshmi Layout,Bangalore-560086",BANGALORE,BLU02141ALMDL,03 Aug 2026,13.0146,77.5514,manasa.hp08@gmail.com,8971888555.0,0.0,2000.0,8000.0,3
407,VIVEKANANDA HOSPITAL,Hospital (Level 1B),Allopathy,"BEHIND BHIDE COMPLEX,POST ROAD SANKESHWAR",,BLG00401ALH1B,17 Sep 2026,16.258734,74.483413,drrameshdm@gmail.com,8861113161.0,25.0,3500.0,6000.0,3
415,Manthale Dental Clinic,Dental Lab or Clinic,Allopathy,Main road Haralayya circle,,BDR00134ALDEN,12 Jun 2027,17.8626631,76.9482791,manthale.ramesh44@gmail.com,9035557001.0,0.0,250.0,300.0,1
427,DEVI CLINIC,Clinic/Polyclinic Only Consultation,Ayurveda,"DEVI CLINIC, Krishnareddy Building, Bhavani Road, Hebbagodi, Bommasandra-Post, Anekal-Taluk, Bangalore -560099",BANGALORE,BLU02051AYCOC,05 Jul 2026,12.826052,77.680961,drsantoshv77@gmail.com,9980908882.0,0.0,180.0,280.0,3
433,KALYAN CLINIC,Clinic/Polyclinic Only Consultation,Ayurveda,"N.H-66, Near Baneshwar Tiles, Prabhu Complex, Honnavar, Uttara-Kannada Dist.",,UKA00070AYCOC,27 Oct 2026,14.2822023,74.4521744,asquare.mahesh@gmail.com,9620480526.0,0.0,250.0,820.0,6
452,VIVEKANANDA HEALTHCARE SOLUTIONS ANNAPURNA HOSPITAL,Hospital (Level 1A),Allopathy,"3630B/14,MOLADI PLOT, HUKKERI ROAD SANKESHWAR..",,BLG00108ALH1A,11 Jan 2026,16.256,74.4824,Phone:,9986514524.0,27.0,3500.0,6000.0,5
461,PVR Diagnostics and Speciality Clinics,Diagnostic Imaging Centre,Allopathy,"K B Pillappa Complex, MG Road , Chikkaballapur",,CBR00038ALDIC,31 May 2026,13.435728,77.729304,drpravanreddy@gmail.com,9945494172.0,0.0,1200.0,4800.0,5
465,ADITI HOSPITAL,Hospital (Level 1A),Allopathy,"GANDHI SQUARE, NEW PET, ANEKAL.",,BLU01801ALH1A,11 Apr 2026,12.711,77.6956,aditihospitalanekal@rediffmail.com,9448040348.0,15.0,1400.0,2500.0,8
467,LAKSHMI HOSPITAL,Hospital (Level 1A),Allopathy,OPPOSITE GENERAL HOSPITAL B H ROAD KUNIGAL TALUK TUMKUR DISTRICT-572130,,TMK00049ALH1A,03 Nov 2025,13.0234,77.019997,sekarandoctorskaran@gmail.com,9448237819.0,25.0,816.0,2261.0,6
469,Ashwini dental clinic,Dental Lab or Clinic,Allopathy,"Ashwini dental clinic , KJ towers, beside government bus stand , Palace Road , Vitla",,DKA00088ALDEN,09 Nov 2025,12.7636,75.1016,kishore14486@rediffmail.com,9741967779.0,0.0,400.0,10000.0,7
476,SRI DHANAVANTHRI CLINIC,Clinic/Polyclinic Only Consultation,Ayurveda,NAGANNA COMPLEX MAIN ROAD RAMANATHAPURA ARKALGUD TALUK,,HSN00070AYCOC,17 Oct 2026,17.3853,78.5278,drhabeebarkalgud@gmail.com,9480646577.0,0.0,400.0,500.0,5
478,al shifa clinic,Clinic/Polyclinic Only Consultation,Ayurveda,belur road arehalli,,HSN00132AYCOC,22 Mar 2027,13.0462,75.8076,yunus100md@gmail.com,9620876693.0,0.0,600.0,1200.0,8
576,AHPL Apoorva Multi Superspeciality Hospital,Hospital (Level 2),Allopathy,"Apoorva Multi Superspeciality Hospital DR.SPM ROAD CTS NO 4635/1/2 NEAR PRAKASH THEATER,SHASTRI NAGAR BELAGAVI",BELAGAVI,BLG00378ALHL2,24 Aug 2026,15.849481,74.515947,apoorvahealthcarebelgaum@gmail.com,9591622828.0,28.0,4500.0,10000.0,5
604,SEVASADAN HEALTH PLUS CHIKODI,Hospital (Level 2),Allopathy,BK COLLEGE ROAD TAVAKKAL PLAZA 3 CHIKODI 591201,,BLG00301ALHL2,30 Jun 2026,16.4292,74.5879,sagarptrj4549@gmail.com,9096702652.0,50.0,7699.0,23259.0,8
611,DHANAVANTRI NURSING HOME,Hospital (Level 1A),Allopathy,BANDAL CROSS VIJAYAPUR ROAD SINDAGI DIST VIJAYAPUR,,BIJ00193ALH1A,02 Apr 2026,16.916127,76.230086,sunilpatil7250@gmail.com,9901666670.0,20.0,2400.0,7200.0,6
612,AYUSH CLINIC,Clinic/Polyclinic with Dispensary,Ayurveda,"UNIVERSITY ROAD, SAJJIPANADU JUNCTION, BANTVALA",,DKA01031AYCWD,12 Jun 2027,12.8589,74.9928,drbasavarajshirur@gmail.com,9738360497.0,0.0,400.0,1000.0,5
616,Aastrika Midwifery Centre,Hospital (Level 1B),Allopathy,"#15, First floor, 1st Stage, Opp. to 15E Bus Stop, 70th Cross Rd, Kumaraswamy Layout, Bengaluru, Karnataka",BENGALURU,BLU03175ALH1B,18 Mar 2027,12.9031,77.5606,info@aastrika.com,9886137004.0,5.0,5300.0,5461.0,5
632,SARKHAZI CLINIC,Clinic/Polyclinic with Dispensary,Homeopathy,"#605, K.R.Road, Near Noorani Auto Stand, Imamnagar, Davanagere.",DAVANAGERE,DVG00048HOCWD,19 Sep 2025,14.4759337,75.9257613,sssarkhazi@gmail.com,9448534506.0,0.0,290.0,1089.0,7
638,DR RAIKAR CLINIC,Clinic/Polyclinic Only Consultation,Allopathy,H.NO.1847/A BAPAT GALLI BELAGAVI TQ/DT.BELAGAVI-590002,BELAGAVI,BLG00413ALCOC,17 Sep 2026,15.849695,74.497673,drhtpamit@yahoo.in,9880840303.0,0.0,981.0,1962.0,5
647,Sri Ranga Clinic,Clinic/Polyclinic Only Consultation,Ayurveda,"Oppossite to Canara Bank, Budda Marga, Vidyanagar, Hassan-573201",HASSAN,HSN00319AYCOC,04 May 2028,13.009711,76.102898,gmravioo@gmail.com,9880897171.0,0.0,375.0,1600.0,6
