id,establishment_name,category,system_of_medicine,address,district,certificate_number,certificate_validity,latitude,longitude,email,phone,num_beds,land_area_sqft,building_area_sqft,page_number
74,Kiranagi Clinic,Clinic/Polyclinic with Diagnostic Support,Allopathy,Near T.V Station Humnabad road Kalaburagi-585103,KALABURAGI,GLB00490ALCDS,13 Mar 2027,,,bmkiranagi71@gmai.com,9591265625.0,0.0,950.0,500.0,4
86,NU Hospitals Private Limited,Specialty / Super-Specialty Specific Hospital,Allopathy,"4/1, West of Chord Road, Near ISKCON Temple,Rajajingar, Bangalore",BANGALORE,BLU12533ALSSH,05 Nov 2030,,77.5527,Phone:,9663943146.0,95.0,,,1
226,ULTRA DIAGNOSTIC SERVICES,Clinic/Polyclinic with Diagnostic Support,Allopathy,"#38/113 Kathriguppe Main Road,Near ITI Layout Bus Stop,BSK 3rd Stage,Bangalore 85",BANGALORE,BLU02861ALCDS,05 Jan 2027,12.9311835,,Phone:,8722690533.0,0.0,1200.0,1000.0,3
234,Shivam Ayurvedic Clinic,AYUSH Therapy Centre,Ayurveda,"Melkar, Panemangalore",MANGALORE,DKA01711AYATC,05 Jul 2028,,,skmanjalagiri@gmail.com,9449944138.0,0.0,50000.0,2150.0,3
244,SRI PAMPAPATI AYURVEDA CLINIC,Clinic/Polyclinic Only Consultation,Ayurveda,"SRI PAMPAPATI COMPLEX, OPP SVM COLLEGE, NEAR BUS STAND, ILKAL.",,BGK00040AYCOC,11 Nov 2025,,,drbasugs@gmail.com,9449355869.0,0.0,275.0,1200.0,4
378,MAAX HOSPITAL,Hospital (Level 2),Allopathy,"Near Kamat petrol Bunk, N.T. Road, Shimoga",,SMG00045ALHL2,03 May 2026,,,narudvg@gmail.com,8884575555.0,100.0,,,5
479,Nava Chaithanya Clinic,Clinic/Polyclinic Only Consultation,Ayurveda,"#7 M.R.Complex, Opp to V.M.Medowds apts , Horamavu underpass, Horamavu Main Road , Bangalore 560113",BANGALORE,BLU02136AYCOC,29 Jul 2026,,,drveereshp02@gmail.com,8861295084.0,0.0,300.0,290.0,5
614,SDM COLLEGE OF MEDICAL SCIENCES AND HOSPITAL,Hospital (Level 4)(Teaching),Allopathy,"Manjushree Nagar, Sattur, Dharwad.",DHARWAD,DWR00197ALHL4,15 Feb 2026,,,,,,,,7
617,CATHERINE MARIAM CLINIC,Clinic/Polyclinic Only Consultation,Allopathy,Shameer mohalla mulbagal,,KLR00128ALCOC,28 Feb 2027,,78.383596,sandeeprayappa17@gmail.com,7411498332.0,0.0,1020.0,260.0,7
629,IKSHA SUPERSPECIALTY EYE HOSPITAL,Clinic/Polyclinic with Diagnostic Support,Allopathy,"134/34 RACE COURSE ROAD, NEAR LIC OFFICE, MADIKERI",,KDG00035ALCDS,01 Aug 2026,,,ikshaeye@gmail.com,9880411711.0,0.0,,,8
