data_type,district_id,district_name,district_iso_code,state,state_iso_code,facility_type,facility_name,latitude,longitude,phone,address,specialization,degree,council,system_of_medicine,description
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,1,Modern Medicine,Modern Medicine medical council #1
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,2,Modern Medicine,Modern Medicine medical council #2
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,3,Modern Medicine,Modern Medicine medical council #3
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,4,Modern Medicine,Modern Medicine medical council #4
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,5,Modern Medicine,Modern Medicine medical council #5
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,6,Modern Medicine,Modern Medicine medical council #6
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,7,Modern Medicine,Modern Medicine medical council #7
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,8,Modern Medicine,Modern Medicine medical council #8
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,9,Modern Medicine,Modern Medicine medical council #9
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,10,Modern Medicine,Modern Medicine medical council #10
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,11,Modern Medicine,Modern Medicine medical council #11
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,12,Modern Medicine,Modern Medicine medical council #12
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,13,Modern Medicine,Modern Medicine medical council #13
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,14,Modern Medicine,Modern Medicine medical council #14
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,15,Modern Medicine,Modern Medicine medical council #15
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,16,Modern Medicine,Modern Medicine medical council #16
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,17,Modern Medicine,Modern Medicine medical council #17
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,18,Modern Medicine,Modern Medicine medical council #18
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,19,Modern Medicine,Modern Medicine medical council #19
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,20,Modern Medicine,Modern Medicine medical council #20
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,21,Modern Medicine,Modern Medicine medical council #21
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,22,Modern Medicine,Modern Medicine medical council #22
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,23,Modern Medicine,Modern Medicine medical council #23
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,24,Modern Medicine,Modern Medicine medical council #24
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,25,Modern Medicine,Modern Medicine medical council #25
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,26,Modern Medicine,Modern Medicine medical council #26
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,27,Modern Medicine,Modern Medicine medical council #27
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,28,Modern Medicine,Modern Medicine medical council #28
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,29,Modern Medicine,Modern Medicine medical council #29
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,118,Modern Medicine,Modern Medicine medical council #30
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,215,Modern Medicine,Modern Medicine medical council #31
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,217,Modern Medicine,Modern Medicine medical council #32
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,222,Modern Medicine,Modern Medicine medical council #33
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,30,Dentistry,Dentistry medical council #1
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,31,Dentistry,Dentistry medical council #2
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,32,Dentistry,Dentistry medical council #3
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,33,Dentistry,Dentistry medical council #4
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,34,Dentistry,Dentistry medical council #5
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,35,Dentistry,Dentistry medical council #6
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,36,Dentistry,Dentistry medical council #7
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,37,Dentistry,Dentistry medical council #8
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,38,Dentistry,Dentistry medical council #9
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,39,Dentistry,Dentistry medical council #10
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,40,Dentistry,Dentistry medical council #11
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,41,Dentistry,Dentistry medical council #12
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,42,Dentistry,Dentistry medical council #13
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,43,Dentistry,Dentistry medical council #14
COUNCIL_REFERENCE,,,,KARNATAKA,29,,,,,,,,,44,Dentistry,Dentistry medical council #15
